RK,Player,Pos,Data,Tm,Opp,W-L,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TDR
1,Russell Westbrook,G,04/09/2017,OKC,DEN,W,37,17,32,0.531,5,12,0.417,11,11,1.000,2,14,16,10,1,0,2,1,50,123.24
2,Fat Lever,G,11/24/1987,DEN,NJN,W,28,9,11,0.818,0,0,0.000,3,5,0.600,2,11,13,14,8,0,4,2,21,120.71
3,James Harden,G,01/27/2017,HOU,PHI,W,39,16,28,0.571,6,11,0.545,13,14,0.929,1,12,13,13,2,1,5,4,51,120.26
4,Larry Bird,F,02/18/1985,BOS,UTA,W,33,13,22,0.591,2,4,0.500,2,3,0.667,0,12,12,10,9,2,1,2,30,116.97
5,James Harden,G,12/31/2016,HOU,NYK,W,42,14,26,0.538,9,16,0.563,16,18,0.889,3,13,16,17,0,0,8,2,53,115.95
6,Russell Westbrook,G,12/23/2016,OKC,BOS,W,35,13,25,0.520,5,7,0.714,14,16,0.875,1,10,11,11,1,0,4,1,45,114.00
7,Kevin Love,F,02/22/2014,MIN,UTA,W,33,11,20,0.550,6,10,0.600,9,10,0.900,3,9,12,10,1,0,1,3,37,113.94
8,David Robinson,C,01/10/1991,SAS,ORL,W,41,14,21,0.667,0,0,0.000,15,15,1.000,4,8,12,3,4,10,4,4,43,113.66
9,Paul Pierce,F-G,02/02/2005,BOS,NJN,W,30,9,15,0.600,0,0,0.000,10,12,0.833,0,10,10,10,4,1,1,0,28,113.33
10,Russell Westbrook,G,11/13/2016,OKC,ORL,L,38,14,21,0.667,0,3,0.000,13,18,0.722,2,10,12,16,0,0,2,2,41,112.37
