Rk,Player,link,Age,Pos,Date,RG/PL,Tm,H-A,Opp,W-L,GS,MP,FG,FGA,FG%_pt,FG%,2P,2PA,2P%_pt,2P%,3P,3PA,3P%_pt,3P%,FT,FTA,FT%_pt,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Off Production,Def Production,GmScX,GmSc_pt,GmSc,oTDR,dTDR,TDR
258,Fat Lever,leverfa01,27-098,G,11/24/87,RS,DEN,,NJN,W,1,28,9,11,0.818,.818,9,11,0.818,.818,0,0,0.000,,3,5,0.600,.600,2,11,13,14,8,0,4,2,21,23.30,10.50,33.80,33.80,33.8,83.21,37.50,120.71
1558,James Harden,hardeja01,27-154,G,01/27/17,RS,HOU,@,PHI,W,1,39,16,28,0.571,.571,10,17,0.588,.588,6,11,0.545,.545,13,14,0.929,.929,1,12,13,13,2,1,5,4,51,42.20,4.70,46.90,46.90,46.9,108.21,12.05,120.26
115,Larry Bird,birdla01,28-073,F,02/18/85,RS,BOS,@,UTA,W,1,33,13,22,0.591,.591,11,18,0.611,.611,2,4,0.500,.500,2,3,0.667,.667,0,12,12,10,9,2,1,2,30,25.40,13.20,38.60,38.60,38.6,76.97,40.00,116.97
1537,James Harden,hardeja01,27-127,G,12/31/16,RS,HOU,,NYK,W,1,42,14,26,0.538,.538,5,10,0.500,.500,9,16,0.563,.563,16,18,0.889,.889,3,13,16,17,0,0,8,2,53,45.60,3.10,48.70,48.70,48.7,108.57,7.38,115.95
1531,Russell Westbrook,westbru01,28-041,G,12/23/16,RS,OKC,@,BOS,W,1,35,13,25,0.520,.520,8,18,0.444,.444,5,7,0.714,.714,14,16,0.875,.875,1,10,11,11,1,0,4,1,45,36.30,3.60,39.90,39.90,39.9,103.71,10.29,114.00
1340,Kevin Love,loveke01,25-168,F,02/22/14,RS,MIN,@,UTA,W,1,33,11,20,0.550,.550,5,10,0.500,.500,6,10,0.600,.600,9,10,0.900,.900,3,9,12,10,1,0,1,3,37,35.10,2.50,37.60,37.60,37.6,106.36,7.58,113.94
475,David Robinson,robinda01,25-157,C,01/10/91,RS,SAS,,ORL,W,1,41,14,21,0.667,.667,14,21,0.667,.667,0,0,0.000,,15,15,1.000,1000,4,8,12,3,4,10,4,4,43,34.80,11.80,46.60,46.60,46.6,84.88,28.78,113.66
1009,Paul Pierce,piercpa01,27-112,F-G,02/02/05,RS,BOS,,NJN,W,1,30,9,15,0.600,.600,9,15,0.600,.600,0,0,0.000,,10,12,0.833,.833,0,10,10,10,4,1,1,0,28,26.30,7.70,34.00,34.00,34.0,87.67,25.67,113.33
1506,Russell Westbrook,westbru01,28-001,G,11/13/16,RS,OKC,,ORL,L,1,38,14,21,0.667,.667,14,18,0.778,.778,0,3,0.000,.000,13,18,0.722,.722,2,10,12,16,0,0,2,2,41,40.50,2.20,42.70,42.70,42.7,106.58,5.79,112.37
1203,LeBron James,jamesle01,25-116,F-G,04/25/10,PL,CLE,@,CHI,W,1,36,11,17,0.647,0.647,5,8,0.625,0.625,6,9,0.667,0.667,9,10,0.900,0.9,0,12,12,11,2,1,2,3,37,34.80,5.10,39.90,39.90,39.9,96.67,14.17,110.83
1450,Stephen Curry,curryst01,27-314,G,01/22/16,RS,GSW,,IND,W,1,37,11,19,0.579,.579,3,4,0.750,.750,8,15,0.533,.533,9,9,1.000,1000,2,8,10,12,1,0,2,1,39,37.90,3.00,40.90,40.90,40.9,102.43,8.11,110.54
857,Terrell Brandon,brandte01,30-279,G,02/23/01,RS,MIN,,GSW,W,1,33,11,14,0.786,.786,8,11,0.727,.727,3,3,1.000,1000,2,2,1.000,1000,0,10,10,16,2,1,2,1,27,30.80,5.30,36.10,36.10,36.1,93.33,16.06,109.39
579,David Robinson,robinda01,28-095,C,11/09/93,RS,SAS,,MIN,W,1,41,14,22,0.636,.636,14,22,0.636,.636,0,0,0.000,,15,19,0.789,.789,5,6,11,1,3,10,2,2,43,33.80,11.00,44.80,44.80,44.8,82.44,26.83,109.27
457,Clyde Drexler,drexlcl01,28-144,G,11/13/90,RS,POR,,DEN,W,1,35,18,22,0.818,.818,18,22,0.818,.818,0,0,0.000,,3,4,0.750,.750,3,8,11,12,0,0,4,4,39,36.90,0.80,37.70,37.70,37.7,105.43,2.29,107.71
70,Magic Johnson,johnsma02,24-220,G-F,03/21/84,RS,LAL,@,KCK,W,1,28,8,14,0.571,.571,8,13,0.615,.615,0,1,0.000,.000,8,11,0.727,.727,2,10,12,19,2,1,5,4,24,25.90,4.10,30.00,30.00,30.0,92.50,14.64,107.14
356,Michael Jordan,jordami01,26-024,G-F,03/13/89,RS,CHI,,IND,W,1,30,7,15,0.467,.467,4,11,0.364,.364,3,4,0.750,.750,4,4,1.000,1000,3,11,14,14,3,2,1,0,21,24.20,7.70,31.90,31.90,31.9,80.67,25.67,106.33
431,Magic Johnson,johnsma02,30-207,G-F,03/09/90,RS,LAL,,GSW,W,1,39,14,19,0.737,.737,13,15,0.867,.867,1,4,0.250,.250,4,5,0.800,.800,4,9,13,16,3,0,3,1,33,35.90,5.30,41.20,41.20,41.2,92.05,13.59,105.64
429,Clyde Drexler,drexlcl01,27-258,G,03/07/90,RS,POR,@,BOS,W,1,37,16,27,0.593,.593,16,27,0.593,.593,0,0,0.000,,7,7,1.000,1000,6,5,11,12,1,0,1,4,39,38.10,0.90,39.00,39.00,39.0,102.97,2.43,105.41
1602,Russell Westbrook,westbru01,28-137,G,03/29/17,RS,OKC,@,ORL,W,1,42,21,40,0.525,.525,15,25,0.600,.600,6,15,0.400,.400,9,11,0.818,.818,3,10,13,11,3,0,7,3,57,39.40,4.80,44.20,44.20,44.2,93.81,11.43,105.24
373,Michael Jordan,jordami01,26-046,G-F,04/04/89,RS,CHI,,CHH,W,1,40,10,15,0.667,.667,10,13,0.769,.769,0,2,0.000,.000,13,15,0.867,.867,4,6,10,12,6,1,3,1,33,33.90,8.10,42.00,42.00,42.0,84.75,20.25,105.00
657,Chris Webber,webbech01,22-301,F-C,12/27/95,RS,WSB,,GSW,W,1,39,18,25,0.720,.720,15,21,0.714,.714,3,4,0.750,.750,1,4,0.250,.250,6,4,10,10,2,0,1,3,40,38.70,2.00,40.70,40.70,40.7,99.23,5.13,104.36
524,Brad Daugherty,daughbr01,26-157,C,03/24/92,RS,CLE,,IND,W,1,35,14,17,0.824,.824,14,17,0.824,.824,0,0,0.000,,4,4,1.000,1000,3,8,11,11,2,1,3,3,32,32.50,3.90,36.40,36.40,36.4,92.86,11.14,104.00
428,Hakeem Olajuwon,olajuha01,27-041,C,03/03/90,RS,HOU,,GSW,W,1,40,13,25,0.520,.520,13,25,0.520,.520,0,0,0.000,,3,4,0.750,.750,6,12,18,9,5,11,0,5,29,26.80,14.30,41.10,41.10,41.1,67.00,35.75,102.75
330,Chris Mullin,mullich01,25-163,F-G,01/09/89,RS,GSW,,PHO,W,1,38,15,24,0.625,.625,13,20,0.650,.650,2,4,0.500,.500,7,7,1.000,1000,2,9,11,11,2,0,1,6,39,36.30,2.30,38.60,38.60,38.6,95.53,6.05,101.58
581,Shaquille O'Neal,onealsh01,21-259,C,11/20/93,RS,ORL,@,NJN,W,1,36,12,19,0.632,.632,12,19,0.632,.632,0,0,0.000,,0,1,0.000,.000,10,18,28,3,1,15,3,4,24,21.20,15.30,36.50,36.50,36.5,58.89,42.50,101.39
