Rk,Player,link,Age,Pos,Date,RG/PL,Tm,,Opp,,GS,MP,FG,FGA,FG%_pt,FG%,2P,2PA,2P%_pt,2P%,3P,3PA,3P%_pt,3P%,FT,FTA,FT%_pt,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Off Production,Def Production,,GmSc_pt,GmSc,oTDR,dTDR,TDR
1613,Russell Westbrook,westbru01,28-148,G,04/09/2017,RS,OKC,@,DEN,W,1,37,17,32,0.531,0.53,12.00,20.00,0.60,0.60,5.00,12.00,0.42,0.42,11,11,1.000,1.000,2,14,16,10,1,0,2,1,50,40.80,4.80,45.60,45.60,45.60,110.27,12.97,123.24
1537,James Harden,hardeja01,27-127,G,12/31/2016,RS,HOU,,NYK,W,1,42,14,26,0.538,0.54,5.00,10.00,0.50,0.50,9.00,16.00,0.56,0.56,16,18,0.889,0.889,3,13,16,17,0,0,8,2,53,45.60,3.10,48.70,48.70,48.70,108.57,7.38,115.95
1558,James Harden,hardeja01,27-154,G,01/27/2017,RS,HOU,@,PHI,W,1,39,16,28,0.571,0.57,10.00,17.00,0.59,0.59,6.00,11.00,0.55,0.55,13,14,0.929,0.929,1,12,13,13,2,1,5,4,51,42.20,4.70,46.90,46.90,46.90,108.21,12.05,120.26
1506,Russell Westbrook,westbru01,28-001,G,11/13/2016,RS,OKC,,ORL,L,1,38,14,21,0.667,0.67,14.00,18.00,0.78,0.78,0.00,3.00,0.00,0.00,13,18,0.722,0.722,2,10,12,16,0,0,2,2,41,40.50,2.20,42.70,42.70,42.70,106.58,5.79,112.37
1340,Kevin Love,loveke01,25-168,F,02/22/2014,RS,MIN,@,UTA,W,1,33,11,20,0.550,0.55,5.00,10.00,0.50,0.50,6.00,10.00,0.60,0.60,9,10,0.900,0.900,3,9,12,10,1,0,1,3,37,35.10,2.50,37.60,37.60,37.60,106.36,7.58,113.94
457,Clyde Drexler,drexlcl01,28-144,G,11/13/1990,RS,POR,,DEN,W,1,35,18,22,0.818,0.82,18.00,22.00,0.82,0.82,0.00,0.00,0.00,,3,4,0.750,0.750,3,8,11,12,0,0,4,4,39,36.90,0.80,37.70,37.70,37.70,105.43,2.29,107.71
1531,Russell Westbrook,westbru01,28-041,G,12/23/2016,RS,OKC,@,BOS,W,1,35,13,25,0.520,0.52,8.00,18.00,0.44,0.44,5.00,7.00,0.71,0.71,14,16,0.875,0.875,1,10,11,11,1,0,4,1,45,36.30,3.60,39.90,39.90,39.90,103.71,10.29,114.00
429,Clyde Drexler,drexlcl01,27-258,G,03/07/1990,RS,POR,@,BOS,W,1,37,16,27,0.593,0.59,16.00,27.00,0.59,0.59,0.00,0.00,0.00,,7,7,1.000,1.000,6,5,11,12,1,0,1,4,39,38.10,0.90,39.00,39.00,39.00,102.97,2.43,105.41
1450,Stephen Curry,curryst01,27-314,G,01/22/2016,RS,GSW,,IND,W,1,37,11,19,0.579,0.58,3.00,4.00,0.75,0.75,8.00,15.00,0.53,0.53,9,9,1.000,1.000,2,8,10,12,1,0,2,1,39,37.90,3.00,40.90,40.90,40.90,102.43,8.11,110.54
657,Chris Webber,webbech01,22-301,F-C,12/27/1995,RS,WSB,,GSW,W,1,39,18,25,0.720,0.72,15.00,21.00,0.71,0.71,3.00,4.00,0.75,0.75,1,4,0.250,0.250,6,4,10,10,2,0,1,3,40,38.70,2.00,40.70,40.70,40.70,99.23,5.13,104.36
1203,LeBron James,jamesle01,25-116,F-G,04/25/2010,PL,CLE,@,CHI,W,1,36,11,17,0.647,0.65,5.00,8.00,0.63,0.63,6.00,9.00,0.67,0.67,9,10,0.900,0.900,0,12,12,11,2,1,2,3,37,34.80,5.10,39.90,39.90,39.90,96.67,14.17,110.83
330,Chris Mullin,mullich01,25-163,F-G,01/09/1989,RS,GSW,,PHO,W,1,38,15,24,0.625,0.63,13.00,20.00,0.65,0.65,2.00,4.00,0.50,0.50,7,7,1.000,1.000,2,9,11,11,2,0,1,6,39,36.30,2.30,38.60,38.60,38.60,95.53,6.05,101.58
1602,Russell Westbrook,westbru01,28-137,G,03/29/2017,RS,OKC,@,ORL,W,1,42,21,40,0.525,0.53,15.00,25.00,0.60,0.60,6.00,15.00,0.40,0.40,9,11,0.818,0.818,3,10,13,11,3,0,7,3,57,39.40,4.80,44.20,44.20,44.20,93.81,11.43,105.24
