Player,Pos,Date,RG/PL,Tm,,Opp,,TDS,MP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,oTDR,dTDR,TDR
Oscar Robertson,G,11/10/1961,RS,CIN,,CHI,W,182,44,3,12,15,16,,,,3,40,89.72,5.14,94.87
Oscar Robertson,G,12/25/1961,RS,CIN,,LAL,L,182,44,3,9,12,17,,,,3,40,88.42,3.57,91.99
Oscar Robertson,G,02/13/1962,RS,CIN,,PHI,W,182,44,3,12,15,18,,,,4,42,86.01,4.24,90.25
Oscar Robertson,G,01/11/1962,RS,CIN,,PHI,W,182,44,3,9,12,19,,,,2,38,84.36,4.47,88.83
Oscar Robertson,G,10/21/1961,RS,CIN,@,STL,W,182,44,3,12,15,13,,,,6,35,81.50,2.43,83.93
Oscar Robertson,G,01/30/1962,RS,CIN,@,STL,W,182,44,3,11,14,13,,,,3,36,81.22,4.62,85.84
Oscar Robertson,G,02/20/1962,RS,CIN,,STL,W,182,44,5,15,20,16,,,,4,31,80.81,6.86,87.67
Oscar Robertson,G,10/29/1961,RS,CIN,,SYR,W,182,44,2,9,11,22,,,,,26,79.88,5.76,85.64
Oscar Robertson,G,12/08/1961,RS,CIN,,STL,W,182,44,3,10,13,19,,,,,31,76.24,6.80,83.05
Oscar Robertson,G,01/20/1962,RS,CIN,,LAL,W,182,44,3,10,13,11,,,,,39,76.14,6.80,82.94
Oscar Robertson,G,12/11/1961,RS,CIN,,CHI,W,182,44,3,12,15,20,,,,3,32,75.87,5.14,81.02
Oscar Robertson,G,02/10/1962,RS,CIN,,STL,W,182,44,5,16,21,16,,,,2,32,75.32,9.19,84.50
Oscar Robertson,G,11/12/1961,RS,CIN,,STL,W,182,44,3,9,12,15,,,,2,31,73.06,4.47,77.53
Oscar Robertson,G,02/16/1962,RS,CIN,@,PHI,L,182,44,3,11,14,10,,,,5,40,72.86,2.81,75.68
Oscar Robertson,G,02/25/1962,RS,CIN,,CHI,W,182,44,3,12,15,13,,,,,33,72.78,7.85,80.63
Oscar Robertson,G,02/17/1962,RS,CIN,,DET,L,182,44,3,12,15,18,,,,,30,71.50,7.85,79.35
Oscar Robertson,G,03/17/1962,PL,CIN,,DET,W,182,44,3,10,13,15,,,,5,33,69.82,2.29,72.11
Oscar Robertson,G,01/09/1962,RS,CIN,,CHI,W,182,44,5,15,20,14,,,,,33,69.05,10.47,79.51
Oscar Robertson,G,11/14/1961,RS,CIN,@,SYR,W,182,44,2,8,10,13,,,,,36,68.74,5.23,73.98
Oscar Robertson,G,11/21/1961,RS,CIN,@,PHI,L,182,44,4,12,16,18,,,,3,25,68.09,5.67,73.76
Oscar Robertson,G,01/14/1962,RS,CIN,,STL,W,182,44,3,10,13,10,,,,4,36,67.79,3.19,70.98
Oscar Robertson,G,02/23/1962,RS,CIN,@,DET,W,182,44,2,9,11,10,,,,,39,67.54,5.76,73.29
Oscar Robertson,G,10/26/1961,RS,CIN,@,NYK,L,182,44,3,11,14,14,,,,,30,66.66,7.33,73.99
Oscar Robertson,G,11/28/1961,RS,CIN,@,NYK,W,182,44,3,12,15,13,,,,,31,65.26,7.85,73.11
Oscar Robertson,G,12/26/1961,RS,CIN,,STL,W,182,44,2,9,11,13,,,,,29,65.02,5.76,70.78
Oscar Robertson,G,02/24/1962,RS,CIN,,LAL,W,182,44,2,9,11,10,,,,,35,64.21,5.76,69.97
Oscar Robertson,G,11/26/1961,RS,CIN,,LAL,W,182,44,3,11,14,17,,,,,24,63.11,7.33,70.44
Oscar Robertson,G,11/07/1961,RS,CIN,,NYK,W,182,44,3,11,14,11,,,,4,22,62.46,3.72,66.17
Oscar Robertson,G,01/18/1962,RS,CIN,@,PHI,W,182,44,3,11,14,16,,,,3,28,61.66,4.62,66.28
Oscar Robertson,G,11/11/1961,RS,CIN,@,CHI,W,182,44,2,8,10,16,,,,,27,61.58,5.23,66.82
Oscar Robertson,G,10/24/1961,RS,CIN,,LAL,L,182,44,3,9,12,10,,,,4,32,61.40,2.67,64.07
Oscar Robertson,G,01/05/1962,RS,CIN,,BOS,L,182,44,3,12,15,11,,,,3,27,61.19,5.14,66.33
Oscar Robertson,G,12/13/1961,RS,CIN,@,SYR,W,182,44,4,12,16,11,,,,2,28,61.09,6.57,67.66
Oscar Robertson,G,12/06/1961,RS,CIN,,BOS,L,182,44,5,15,20,10,,,,,31,60.82,10.47,71.29
Oscar Robertson,G,01/03/1962,RS,CIN,,NYK,W,182,44,3,9,12,13,,,,,26,60.11,6.28,66.39
Oscar Robertson,G,11/16/1961,RS,CIN,,CIN,L,182,44,4,12,16,13,,,,,26,59.74,8.37,68.11
Oscar Robertson,G,12/19/1961,RS,CIN,,PHI,L,182,44,3,9,12,13,,,,,28,58.91,6.28,65.20
Oscar Robertson,G,12/16/1961,RS,CIN,@,DET,W,182,44,2,8,10,13,,,,,27,57.75,5.23,62.98
Oscar Robertson,G,01/07/1962,RS,CIN,,CHI,W,182,44,2,9,11,12,,,,,25,54.41,5.76,60.17
Oscar Robertson,G,02/14/1962,RS,CIN,,CHI,L,182,44,2,8,10,12,,,,5,27,54.00,0.72,54.72
Oscar Robertson,G,03/03/1962,RS,CIN,@,CHI,W,182,44,2,9,11,12,,,,3,27,52.32,3.05,55.36
Oscar Robertson,G,11/01/1961,RS,CIN,@,LAL,L,182,44,3,10,13,11,,,,3,18,44.05,4.10,48.15
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
