RK,Player,link,Age,Pos,Date,RG/PL,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Off Production,Def Production,,GmSc_pt,GmSc,oTDR,dTDR,TDR,diff_tot_oTDR,diff_tot_dTDR,diff_tot_TDR,diff_avg_oTDR,diff_avg_dTDR,diff_avg_TDR,diff_med_TDR,diff_med_TDR,diff_med_TDR
,James Harden,hardeja01,27-229,G,04/12/2017,RS,HOU,,MIN,W,1,34,8,13,0.615,3,3,1.000,5,10,0.500,6,8,0.750,1,9,10,12,4,1,4,3,27,25.40,6.20,31.60,31.60,31.60,74.71,18.24,92.94,27.17,7.49,34.65,26.80,7.30,34.10,28.28,8.42,35.80
,Russell Westbrook,westbru01,28-148,G,04/09/2017,RS,OKC,@,DEN,W,1,37,17,32,0.531,12,20,0.600,5,12,0.417,11,11,1.000,2,14,16,10,1,0,2,1,50,40.80,4.80,45.60,45.60,45.60,110.27,12.97,123.24,62.73,2.22,64.95,62.36,2.04,64.40,63.84,3.16,66.10
,James Harden,hardeja01,27-226,G,04/09/2017,RS,HOU,@,SAC,W,1,36,9,22,0.409,4,9,0.444,5,13,0.385,12,13,0.923,0,11,11,15,1,0,10,2,35,23.30,3.50,26.80,26.80,26.80,64.72,9.72,74.44,17.18,-1.03,16.15,16.81,-1.21,15.61,18.29,-0.09,17.30
,Russell Westbrook,westbru01,28-141,G,04/02/2017,RS,OKC,,CHO,L,1,36,14,31,0.452,7,16,0.438,7,15,0.467,5,5,1.000,1,12,13,10,3,0,8,1,40,23.60,6.20,29.80,29.80,29.80,65.56,17.22,82.78,18.02,6.47,24.49,17.65,6.29,23.94,19.13,7.41,25.63
,Russell Westbrook,westbru01,28-141,G,04/02/2017,RS,OKC,,CHO,L,1,36,14,31,0.452,7,16,0.438,7,15,0.467,5,5,1.000,1,12,13,10,2,0,8,1,40,23.60,5.20,28.80,28.80,28.80,65.56,14.44,80.00,18.02,3.69,21.71,17.65,3.51,21.16,19.13,4.63,22.86
,Russell Westbrook,westbru01,28-139,G,03/31/2017,RS,OKC,,SAS,L,1,37,8,22,0.364,6,15,0.400,2,7,0.286,14,15,0.933,2,13,15,12,0,0,8,1,32,21.20,3.50,24.70,24.70,24.70,57.30,9.46,66.76,9.76,-1.29,8.47,9.39,-1.47,7.92,10.87,-0.35,9.61
,Russell Westbrook,westbru01,28-137,G,03/29/2017,RS,OKC,@,ORL,W,1,42,21,40,0.525,15,25,0.600,6,15,0.400,9,11,0.818,3,10,13,11,3,0,7,3,57,39.40,4.80,44.20,44.20,44.20,93.81,11.43,105.24,46.27,0.68,46.95,45.90,0.50,46.40,47.38,1.62,48.10
,James Harden,hardeja01,27-214,G,03/28/2017,RS,HOU,,GSW,L,1,38,5,20,0.250,4,11,0.364,1,9,0.111,13,13,1.000,3,8,11,13,1,0,6,1,24,17.20,3.00,20.20,20.20,20.20,45.26,7.89,53.16,-2.28,-2.86,-5.13,-2.64,-3.04,-5.68,-1.17,-1.92,-3.98
,Russell Westbrook,westbru01,28-135,G,03/27/2017,RS,OKC,@,DAL,W,1,36,15,30,0.500,13,21,0.619,2,9,0.222,5,5,1.000,0,13,13,10,2,0,6,0,37,23.00,5.90,28.90,28.90,28.90,63.89,16.39,80.28,16.35,5.64,21.99,15.98,5.46,21.44,17.46,6.58,23.13
,Russell Westbrook,westbru01,28-134,G,03/26/2017,RS,OKC,@,HOU,L,1,39,13,24,0.542,10,15,0.667,3,9,0.333,10,16,0.625,0,11,11,13,0,0,5,4,39,29.10,1.70,30.80,30.80,30.80,74.62,4.36,78.97,27.08,-6.39,20.68,26.71,-6.57,20.14,28.19,-5.45,21.83
,Russell Westbrook,westbru01,28-130,G,03/22/2017,RS,OKC,,PHI,W,1,28,6,6,1.000,6,6,1.000,0,0,0.000,6,6,1.000,0,11,11,14,0,2,5,1,18,21.00,4.30,25.30,25.30,25.30,75.00,15.36,90.36,27.46,4.61,32.07,27.09,4.43,31.52,28.57,5.55,33.21
,James Harden,hardeja01,27-204,G,03/18/2017,RS,HOU,@,DEN,W,1,37,11,23,0.478,8,15,0.533,3,8,0.375,15,17,0.882,0,10,10,10,2,0,8,3,40,26.50,3.80,30.30,30.30,30.30,71.62,10.27,81.89,24.08,-0.48,23.60,23.71,-0.66,23.05,25.19,0.46,24.75
,James Harden,hardeja01,27-203,G,03/17/2017,RS,HOU,@,NOP,L,1,40,12,21,0.571,8,11,0.727,4,10,0.400,13,14,0.929,2,12,14,11,2,0,5,2,41,34.80,4.80,39.60,39.60,39.60,87.00,12.00,99.00,39.46,1.25,40.71,39.09,1.07,40.16,40.57,2.19,41.86
,Russell Westbrook,westbru01,28-124,G,03/16/2017,RS,OKC,@,TOR,W,1,28,8,17,0.471,4,9,0.444,4,8,0.500,4,4,1.000,0,10,10,16,1,0,2,2,24,24.50,3.20,27.70,27.70,27.70,87.50,11.43,98.93,39.96,0.68,40.64,39.59,0.50,40.09,41.07,1.62,41.79
,James Harden,hardeja01,27-201,G,03/15/2017,RS,HOU,,LAL,W,1,31,6,12,0.500,5,6,0.833,1,6,0.167,5,7,0.714,3,9,12,13,2,0,9,2,18,13.40,3.90,17.30,17.30,17.30,43.23,12.58,55.81,-4.31,1.83,-2.48,-4.68,1.65,-3.03,-3.20,2.77,-1.34
,Russell Westbrook,westbru01,28-122,G,03/14/2017,RS,OKC,@,BRK,W,1,35,6,18,0.333,4,11,0.364,2,7,0.286,11,13,0.846,1,11,12,19,2,1,5,3,25,23.00,4.80,27.80,27.80,27.80,65.71,13.71,79.43,18.17,2.96,21.14,17.81,2.78,20.59,19.29,3.90,22.29
,James Harden,hardeja01,27-198,G,03/12/2017,RS,HOU,,CLE,W,1,40,13,28,0.464,9,14,0.643,4,14,0.286,8,12,0.667,3,7,10,11,1,1,4,2,38,27.80,3.00,30.80,30.80,30.80,69.50,7.50,77.00,21.96,-3.25,18.71,21.59,-3.43,18.16,23.07,-2.31,19.86
,Russell Westbrook,westbru01,28-119,G,03/11/2017,RS,OKC,,UTA,W,1,36,9,26,0.346,6,16,0.375,3,10,0.300,12,13,0.923,1,10,11,14,2,2,5,1,33,23.50,6.00,29.50,29.50,29.50,65.28,16.67,81.94,17.74,5.92,23.65,17.37,5.74,23.11,18.85,6.86,24.80
,Russell Westbrook,westbru01,28-117,G,03/09/2017,RS,OKC,,SAS,W,1,35,7,21,0.333,6,15,0.400,1,6,0.167,8,9,0.889,3,10,13,13,2,0,3,2,23,18.90,4.20,23.10,23.10,23.10,54.00,12.00,66.00,6.46,1.25,7.71,6.09,1.07,7.16,7.57,2.19,8.86
,Russell Westbrook,westbru01,28-108,G,02/28/2017,RS,OKC,,UTA,W,1,39,13,28,0.464,7,19,0.368,6,9,0.667,11,12,0.917,0,11,11,10,0,0,8,1,43,27.20,2.90,30.10,30.10,30.10,69.74,7.44,77.18,22.20,-3.31,18.89,21.84,-3.49,18.34,23.32,-2.38,20.04
,Russell Westbrook,westbru01,28-106,G,02/26/2017,RS,OKC,,NOP,W,1,37,14,29,0.483,12,21,0.571,2,8,0.250,11,12,0.917,2,9,11,11,1,0,9,2,41,26.00,2.90,28.90,28.90,28.90,70.27,7.84,78.11,22.73,-2.91,19.82,22.36,-3.09,19.27,23.84,-1.97,20.97
